City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,280.99,88,99,6.09,NZ,1688433995
1,lebu,-37.6167,-73.65,285.17,88,100,8.37,CL,1688433996
2,jamestown,42.097,-79.2353,294.27,90,100,1.54,US,1688433997
3,tuktoyaktuk,69.4541,-133.0374,293.15,56,20,8.75,CA,1688433997
4,busselton,-33.65,115.3333,285.38,72,93,10.28,AU,1688433998
5,ribeira grande,38.5167,-28.7,291.91,83,100,3.58,PT,1688433998
6,barrow,71.2906,-156.7887,281.16,76,0,6.17,US,1688433999
7,bredasdorp,-34.5322,20.0403,283.76,89,91,2.26,ZA,1688434000
8,bengkulu,-3.8004,102.2655,298.49,86,7,2.08,ID,1688434000
9,magomeni,-6.8,39.25,293.97,88,6,2.27,TZ,1688434001
10,rikitea,-23.1203,-134.9692,296.27,72,30,5.78,PF,1688433795
11,port-cartier,50.0334,-66.8654,289.27,97,40,0.91,CA,1688434002
12,broken hill,-31.95,141.4333,282.64,92,100,3.02,AU,1688434003
13,longyearbyen,78.2186,15.6401,283.06,50,0,8.23,SJ,1688434003
14,hermanus,-34.4187,19.2345,281.93,82,68,1.94,ZA,1688434004
15,upington,-28.4478,21.2561,279.36,65,0,0.0,ZA,1688434004
16,sitka,57.0531,-135.33,287.09,82,75,1.54,US,1688434005
17,ahipara,-35.1667,173.1667,289.72,76,100,6.3,NZ,1688434005
18,tasiilaq,65.6145,-37.6368,279.24,61,4,2.68,GL,1688434006
19,atuona,-9.8,-139.0333,299.44,73,0,9.51,PF,1688433777
20,vostryakovo,55.4006,37.8111,286.16,76,0,1.0,RU,1688434008
21,northam,51.0333,-4.2167,287.93,81,100,5.99,GB,1688434008
22,albany,42.6001,-73.9662,295.51,93,56,0.68,US,1688434009
23,ushuaia,-54.8,-68.3,275.96,70,0,2.57,AR,1688434009
24,saint-felicien,48.6501,-72.4491,295.43,88,20,1.03,CA,1688434010
25,dalen,52.6992,6.7556,286.52,89,99,3.58,NL,1688434011
26,kodiak,57.79,-152.4072,283.88,82,100,5.14,US,1688434011
27,fairbanks,64.8378,-147.7164,296.26,41,75,3.6,US,1688433781
28,marienburg,54.0359,19.0266,287.54,74,13,3.79,PL,1688434012
29,georgetown,5.4112,100.3354,303.11,87,20,2.06,MY,1688433780
30,mahibadhoo,3.7833,72.9667,300.52,76,100,4.66,MV,1688434013
31,torbay,47.6666,-52.7314,292.58,94,75,5.66,CA,1688434014
32,gola gokarannath,28.0833,80.4667,300.21,85,74,4.4,IN,1688434014
33,chokurdakh,70.6333,147.9167,279.03,49,100,4.73,RU,1688434015
34,waingapu,-9.6567,120.2641,299.89,72,25,4.09,ID,1688434016
35,comodoro rivadavia,-45.8667,-67.5,281.07,39,0,11.83,AR,1688434016
36,kapaa,22.0752,-159.319,303.33,78,75,4.63,US,1688434017
37,belaya gora,68.5333,146.4167,281.87,49,91,5.18,RU,1688434018
38,yellowknife,62.456,-114.3525,295.44,26,20,2.57,CA,1688434019
39,tiksi,71.6872,128.8694,277.54,64,86,1.08,RU,1688434020
40,mount gambier,-37.8333,140.7667,281.33,98,100,1.58,AU,1688434021
41,parnamirim,-5.9156,-35.2628,298.09,88,20,5.14,BR,1688433761
42,port alfred,-33.5906,26.891,287.31,87,90,4.97,ZA,1688434022
43,ponta do sol,32.6667,-17.1,296.32,81,16,1.82,PT,1688434022
44,gambela,8.25,34.5833,293.98,97,84,1.16,ET,1688434023
45,taksimo,56.3444,114.8794,292.64,77,100,0.39,RU,1688433735
46,yumen,40.2833,97.2,296.32,13,0,1.02,CN,1688434024
47,pisco,-13.7,-76.2167,294.18,68,100,3.09,PE,1688434025
48,cidreira,-30.1811,-50.2056,290.46,89,13,7.6,BR,1688434026
49,harper,4.375,-7.7169,297.82,84,98,1.96,LR,1688434026
50,mahebourg,-20.4081,57.7,295.31,73,75,6.17,MU,1688434027
51,luohe,33.5717,114.0353,298.14,68,100,6.31,CN,1688434027
52,aksarka,66.5606,67.7975,292.84,77,79,2.93,RU,1688434028
53,ural,55.9078,94.7464,288.38,85,100,1.67,RU,1688434029
54,morganton,35.7454,-81.6848,298.81,89,37,0.93,US,1688434029
55,along,28.1667,94.7667,297.68,94,84,0.07,IN,1688434030
56,cozumel,20.5083,-86.9458,302.56,90,100,3.13,MX,1688434030
57,omboue,-1.5746,9.2618,294.62,94,83,2.79,GA,1688434031
58,vila velha,-20.3297,-40.2925,292.56,74,0,4.12,BR,1688434032
59,beloha,-25.1667,45.05,288.62,78,0,3.47,MG,1688434032
60,hofn,64.2539,-15.2082,281.76,72,90,1.85,IS,1688434033
61,coahuayana,18.7333,-103.6833,302.63,70,38,2.16,MX,1688434033
62,punta arenas,-53.15,-70.9167,275.21,87,0,5.14,CL,1688434034
63,luderitz,-26.6481,15.1594,289.6,61,0,4.74,NA,1688434034
64,mogadishu,2.0371,45.3438,298.15,80,76,7.48,SO,1688434001
65,puerto ayora,-0.7393,-90.3518,298.46,87,27,3.13,EC,1688434036
66,jinji,23.2281,110.8261,301.59,84,78,1.8,CN,1688434036
67,hamilton,39.1834,-84.5333,299.06,77,75,2.57,US,1688433988
68,san patricio,28.017,-97.5169,304.56,61,16,6.86,US,1688434037
69,margate,51.3813,1.3862,286.41,76,100,2.24,GB,1688434038
70,hit,33.6416,42.8251,303.93,21,0,6.01,IQ,1688434039
71,hilo,19.7297,-155.09,301.0,72,40,4.12,US,1688434039
72,dukat,62.55,155.55,300.46,39,47,6.75,RU,1688434040
73,cayenne,4.9333,-52.3333,296.17,100,75,1.54,GF,1688434041
74,lingao,19.9103,109.6859,302.88,70,41,3.13,CN,1688434041
75,bagotville,-28.9833,153.4167,288.5,93,100,2.54,AU,1688434042
76,walvis bay,-22.9575,14.5053,289.68,31,0,1.03,NA,1688434043
77,buraydah,26.326,43.975,304.4,15,4,2.44,SA,1688434044
78,lima,-12.0432,-77.0282,294.76,77,75,5.14,PE,1688434032
79,kavieng,-2.5744,150.7967,302.19,75,100,6.37,PG,1688434045
80,snezhnogorsk,69.1933,33.2531,279.03,96,95,0.26,RU,1688434046
81,mankera,31.3866,71.4407,309.83,36,0,7.53,PK,1688434047
82,port elizabeth,-33.918,25.5701,286.31,87,0,2.57,ZA,1688434047
83,kaitangata,-46.2817,169.8464,282.04,78,97,8.46,NZ,1688434048
84,san quintin,30.4833,-115.95,293.27,78,10,5.58,MX,1688434048
85,vaini,-21.2,-175.2,297.24,64,40,3.09,TO,1688434049
86,bandarbeyla,9.4942,50.8122,298.25,70,16,12.21,SO,1688434049
87,ribas do rio pardo,-20.4431,-53.7592,289.86,68,6,2.4,BR,1688434050
88,roma,43.2128,-75.4557,295.75,89,20,0.0,US,1688434051
89,airai,-8.9266,125.4092,291.21,89,88,1.09,TL,1688434051
90,new norfolk,-42.7826,147.0587,282.55,62,100,0.51,AU,1688434052
91,lorengau,-2.0226,147.2712,301.32,80,99,4.11,PG,1688434052
92,matara,5.9485,80.5353,298.8,88,100,7.5,LK,1688434053
93,juba,4.8517,31.5825,293.84,95,98,1.63,SS,1688434053
94,baker city,44.7749,-117.8344,299.04,25,0,7.72,US,1688434054
95,avera,33.194,-82.5271,301.88,63,100,1.8,US,1688434055
96,dunedin,-45.8742,170.5036,283.6,62,99,8.49,NZ,1688434055
97,oksfjord,70.2396,22.3479,286.19,63,1,1.6,NO,1688434056
98,bluff,-46.6,168.3333,282.57,75,94,12.96,NZ,1688434056
99,puerto del rosario,28.5004,-13.8627,296.01,78,75,4.12,ES,1688434057
100,leningradskiy,69.3833,178.4167,285.42,55,100,4.78,RU,1688434057
101,alofi,-19.0595,-169.9187,299.09,73,75,4.63,NU,1688434058
102,kuytun,54.3419,101.5036,286.35,97,100,5.95,RU,1688434058
103,cape town,-33.9258,18.4232,288.92,84,40,2.57,ZA,1688434005
104,esperance,-33.8667,121.9,284.86,69,6,12.26,AU,1688434059
105,auki,-8.7676,160.7034,302.36,70,95,2.83,SB,1688434060
106,la ronge,55.1001,-105.2842,285.29,71,100,7.2,CA,1688434060
107,assiniboia,49.6334,-105.9845,295.05,24,10,8.23,CA,1688434061
108,vikulovo,56.8167,70.6107,293.0,78,7,3.65,RU,1688434061
109,tilichiki,60.4667,166.1,281.33,95,100,2.96,RU,1688434063
110,kabinda,-6.1333,24.4833,291.47,49,0,2.15,CD,1688434064
111,fortuna,40.5982,-124.1573,290.18,79,0,5.14,US,1688434065
112,avarua,-21.2078,-159.775,300.18,78,14,2.57,CK,1688434065
113,hervey bay,-25.2986,152.8535,294.89,76,74,6.94,AU,1688433999
114,rawson,-43.3002,-65.1023,284.58,37,100,5.5,AR,1688434066
115,wewak,-3.5534,143.6268,302.35,71,100,2.36,PG,1688434067
116,norman wells,65.282,-126.8329,301.17,30,40,6.69,CA,1688434067
117,qaanaaq,77.484,-69.3632,276.98,82,17,2.66,GL,1688434068
118,portland,45.5234,-122.6762,305.68,23,20,4.63,US,1688433969
119,tuatapere,-46.1333,167.6833,282.26,77,96,7.95,NZ,1688434069
120,upernavik,72.7868,-56.1549,278.12,73,100,3.07,GL,1688434050
121,syracuse,37.0881,15.2792,295.8,79,0,3.36,IT,1688434012
122,hithadhoo,-0.6,73.0833,301.05,72,93,5.56,MV,1688434070
123,kysyl-syr,63.8986,122.7617,291.19,48,100,3.66,RU,1688434071
124,nikolskoye,59.7035,30.7861,285.82,80,12,5.53,RU,1688434071
125,guerrero negro,27.9769,-114.0611,292.76,75,0,7.71,MX,1688434072
126,shihezi,44.3,86.0333,301.99,17,100,2.7,CN,1688434072
127,tezu,27.9167,96.1667,299.88,88,90,0.35,IN,1688434073
128,hobart,-42.8794,147.3294,282.74,84,100,3.6,AU,1688433784
129,talnakh,69.4865,88.3972,291.6,57,8,1.99,RU,1688434074
130,clyde river,70.4692,-68.5914,274.28,100,100,5.14,CA,1688434075
131,pangai,-19.8,-174.35,298.21,73,75,2.57,TO,1688434076
132,arroyohondo,10.2522,-75.0198,299.12,90,100,2.3,CO,1688434077
133,palauig,15.435,119.9045,302.74,67,100,0.93,PH,1688434077
134,cherskiy,68.75,161.3,282.45,49,84,7.56,RU,1688434078
135,mar del plata,-38.0023,-57.5575,289.31,98,100,4.0,AR,1688434046
136,mantua,45.1667,10.7833,294.09,86,54,0.45,IT,1688434079
137,aykhal,66.0,111.5,288.29,58,30,1.69,RU,1688434079
138,traverse city,44.7631,-85.6206,297.19,74,20,2.06,US,1688434080
139,thompson,55.7435,-97.8558,289.24,82,75,3.09,CA,1688433989
140,guisa,20.255,-76.5386,297.69,94,99,1.42,CU,1688434081
141,port alberni,49.2413,-124.8028,303.64,28,0,3.13,CA,1688434081
142,mayo,38.8876,-76.5119,301.54,86,75,6.69,US,1688434082
143,kaeo,-35.1,173.7833,291.11,75,74,4.87,NZ,1688434082
144,touros,-5.1989,-35.4608,298.11,82,99,7.62,BR,1688433869
145,kardla,58.9978,22.7492,288.74,76,16,8.39,EE,1688434084
146,carutapera,-1.195,-46.02,297.68,90,6,2.4,BR,1688434084
147,east london,-33.0153,27.9116,288.49,86,100,4.09,ZA,1688434085
148,makurdi,7.7411,8.5121,297.82,90,67,2.6,NG,1688434086
149,ulladulla,-35.35,150.4667,285.63,90,100,1.74,AU,1688434087
150,bac lieu,9.285,105.7244,301.1,77,94,2.85,VN,1688434088
151,san andres,12.5847,-81.7006,300.16,83,20,4.63,CO,1688434088
152,chuy,-33.6971,-53.4616,287.37,97,100,2.73,UY,1688434089
153,bandundu,-3.3167,17.3667,296.09,35,0,1.46,CD,1688434089
154,beira,-19.8436,34.8389,294.9,73,53,1.98,MZ,1688434090
155,teguise,29.0605,-13.564,294.27,73,0,6.17,ES,1688434091
156,voznesenye,61.0106,35.4781,286.6,80,94,6.18,RU,1688434092
157,talcahuano,-36.7167,-73.1167,285.97,82,0,6.17,CL,1688434092
158,jhabua,22.7667,74.6,299.96,85,81,3.06,IN,1688434093
159,lavrentiya,65.5833,-171.0,281.95,85,100,3.43,RU,1688434093
160,nogent-le-rotrou,48.3333,1.0,285.73,86,12,2.5,FR,1688434094
161,kaabong,3.4836,34.1492,289.27,85,100,3.77,UG,1688434095
162,bambous virieux,-20.3428,57.7575,295.29,73,75,6.17,MU,1688434096
163,narsaq,60.9167,-46.05,281.27,92,100,1.74,GL,1688434096
164,castro,-24.7911,-50.0119,283.31,96,6,2.14,BR,1688434097
165,manta,-0.95,-80.7333,300.03,78,40,8.05,EC,1688434097
166,manokwari,-0.8667,134.0833,300.99,74,98,1.58,ID,1688434098
167,lufilufi,-13.8745,-171.5986,306.03,75,38,6.78,WS,1688434098
168,ilulissat,69.2167,-51.1,282.16,87,100,4.12,GL,1688434099
169,lagoa,39.05,-27.9833,292.65,67,100,2.8,PT,1688434099
170,ostrovnoy,68.0531,39.5131,283.96,88,21,3.37,RU,1688434100
171,severo-kurilsk,50.6789,156.125,284.49,92,92,2.38,RU,1688434101
